n_cities,algorithm,best_distance,distance_per_city
189,BlindBlendAS,45969.56961171,229.84784806
189,BaselineAS,48921.86630626,244.60933153
189,ElitistAS,47736.98308237,238.68491541
189,MaxMinAS,46908.76507139,234.54382536
190,BlindBlendAS,45238.07705744,226.19038529
190,BaselineAS,48175.43463878,240.87717319
190,ElitistAS,48507.14763503,242.53573818
190,MaxMinAS,45827.10780887,229.13553904
191,BlindBlendAS,45934.97767459,229.67488837
191,BaselineAS,49295.61482374,246.47807412
191,ElitistAS,48722.05437724,243.61027189
191,MaxMinAS,46866.50990924,234.33254955
192,BlindBlendAS,43578.81538205,217.89407691
192,BaselineAS,46170.90052826,230.85450264
192,ElitistAS,43977.72490533,219.88862453
192,MaxMinAS,44128.84920952,220.64424605
193,BlindBlendAS,43499.24933822,217.49624669
193,BaselineAS,47645.55742310,238.22778712
193,ElitistAS,47533.06010844,237.66530054
193,MaxMinAS,45971.89480895,229.85947404
194,BlindBlendAS,45255.08579239,226.27542896
194,BaselineAS,47455.25281398,237.27626407
194,ElitistAS,48320.21632024,241.60108160
194,MaxMinAS,45863.97113036,229.31985565
195,BlindBlendAS,43156.79392450,215.78396962
195,BaselineAS,45976.95000207,229.88475001
195,ElitistAS,45362.05275147,226.81026376
195,MaxMinAS,44077.43229071,220.38716145
196,BlindBlendAS,44750.83623036,223.75418115
196,BaselineAS,47378.46040549,236.89230203
196,ElitistAS,48151.31829708,240.75659149
196,MaxMinAS,46114.71593590,230.57357968
197,BlindBlendAS,44676.81448109,223.38407241
197,BaselineAS,46235.87859212,231.17939296
197,ElitistAS,46846.44601855,234.23223009
197,MaxMinAS,45063.65048669,225.31825243
198,BlindBlendAS,43907.92278050,219.53961390
198,BaselineAS,44967.61649103,224.83808246
198,ElitistAS,42375.61979992,211.87809900
198,MaxMinAS,42821.22526538,214.10612633
199,BlindBlendAS,45081.95896535,225.40979483
199,BaselineAS,47176.18614118,235.88093071
199,ElitistAS,46551.93244771,232.75966224
199,MaxMinAS,46168.98519259,230.84492596
200,BlindBlendAS,44436.58507613,222.18292538
200,BaselineAS,45101.35146651,225.50675733
200,ElitistAS,44459.60581008,222.29802905
200,MaxMinAS,45415.90099392,227.07950497
