schedule,start_evaporation,end_evaporation,curve,iteration,evaporation
logarithmic,0.90000000,0.20000000,-9.00000000,34,0.60223522
logarithmic,0.90000000,0.20000000,-9.00000000,35,0.58698938
logarithmic,0.90000000,0.20000000,-9.00000000,36,0.57093841
logarithmic,0.90000000,0.20000000,-9.00000000,37,0.55399250
logarithmic,0.90000000,0.20000000,-9.00000000,38,0.53604594
logarithmic,0.90000000,0.20000000,-9.00000000,39,0.51697310
logarithmic,0.90000000,0.20000000,-9.00000000,40,0.49662309
logarithmic,0.90000000,0.20000000,-9.00000000,41,0.47481250
logarithmic,0.90000000,0.20000000,-9.00000000,42,0.45131536
logarithmic,0.90000000,0.20000000,-9.00000000,43,0.42584880
logarithmic,0.90000000,0.20000000,-9.00000000,44,0.39805224
logarithmic,0.90000000,0.20000000,-9.00000000,45,0.36745599
logarithmic,0.90000000,0.20000000,-9.00000000,46,0.33343226
logarithmic,0.90000000,0.20000000,-9.00000000,47,0.29511511
logarithmic,0.90000000,0.20000000,-9.00000000,48,0.25126234
logarithmic,0.90000000,0.20000000,-9.00000000,49,0.20000000
logarithmic,0.90000000,0.20000000,-3.00000000,0,0.90000000
logarithmic,0.90000000,0.20000000,-3.00000000,1,0.89221152
logarithmic,0.90000000,0.20000000,-3.00000000,2,0.88430102
logarithmic,0.90000000,0.20000000,-3.00000000,3,0.87626462
logarithmic,0.90000000,0.20000000,-3.00000000,4,0.86809824
logarithmic,0.90000000,0.20000000,-3.00000000,5,0.85979762
logarithmic,0.90000000,0.20000000,-3.00000000,6,0.85135826
logarithmic,0.90000000,0.20000000,-3.00000000,7,0.84277544
logarithmic,0.90000000,0.20000000,-3.00000000,8,0.83404422
logarithmic,0.90000000,0.20000000,-3.00000000,9,0.82515936
logarithmic,0.90000000,0.20000000,-3.00000000,10,0.81611536
logarithmic,0.90000000,0.20000000,-3.00000000,11,0.80690641
logarithmic,0.90000000,0.20000000,-3.00000000,12,0.79752639
logarithmic,0.90000000,0.20000000,-3.00000000,13,0.78796882
logarithmic,0.90000000,0.20000000,-3.00000000,14,0.77822684
logarithmic,0.90000000,0.20000000,-3.00000000,15,0.76829321
logarithmic,0.90000000,0.20000000,-3.00000000,16,0.75816023
logarithmic,0.90000000,0.20000000,-3.00000000,17,0.74781974
logarithmic,0.90000000,0.20000000,-3.00000000,18,0.73726305
logarithmic,0.90000000,0.20000000,-3.00000000,19,0.72648093
logarithmic,0.90000000,0.20000000,-3.00000000,20,0.71546355
logarithmic,0.90000000,0.20000000,-3.00000000,21,0.70420041
logarithmic,0.90000000,0.20000000,-3.00000000,22,0.69268029
logarithmic,0.90000000,0.20000000,-3.00000000,23,0.68089119
logarithmic,0.90000000,0.20000000,-3.00000000,24,0.66882026
logarithmic,0.90000000,0.20000000,-3.00000000,25,0.65645369
logarithmic,0.90000000,0.20000000,-3.00000000,26,0.64377662
logarithmic,0.90000000,0.20000000,-3.00000000,27,0.63077307
logarithmic,0.90000000,0.20000000,-3.00000000,28,0.61742578
logarithmic,0.90000000,0.20000000,-3.00000000,29,0.60371607
logarithmic,0.90000000,0.20000000,-3.00000000,30,0.58962371
logarithmic,0.90000000,0.20000000,-3.00000000,31,0.57512674
logarithmic,0.90000000,0.20000000,-3.00000000,32,0.56020122
logarithmic,0.90000000,0.20000000,-3.00000000,33,0.54482105
logarithmic,0.90000000,0.20000000,-3.00000000,34,0.52895765
logarithmic,0.90000000,0.20000000,-3.00000000,35,0.51257968
logarithmic,0.90000000,0.20000000,-3.00000000,36,0.49565262
logarithmic,0.90000000,0.20000000,-3.00000000,37,0.47813838
logarithmic,0.90000000,0.20000000,-3.00000000,38,0.45999476
logarithmic,0.90000000,0.20000000,-3.00000000,39,0.44117482
logarithmic,0.90000000,0.20000000,-3.00000000,40,0.42162618
logarithmic,0.90000000,0.20000000,-3.00000000,41,0.40129015
logarithmic,0.90000000,0.20000000,-3.00000000,42,0.38010061
