parameter,value,seed_index,python_seed,city_seed,best_distance,blind_rounds
blind_iterations,8,15,58,62,15253.23239617,32
blind_iterations,8,16,59,63,15328.91639337,40
blind_iterations,8,17,60,64,15324.84854606,16
blind_iterations,8,18,61,65,15331.49117102,40
blind_iterations,8,19,62,66,15023.35550177,48
blind_iterations,10,0,43,47,14561.13362450,60
blind_iterations,10,1,44,48,15673.23664838,40
blind_iterations,10,2,45,49,15807.49198582,50
blind_iterations,10,3,46,50,16687.15961314,30
blind_iterations,10,4,47,51,16124.17915505,30
blind_iterations,10,5,48,52,14831.10255567,40
blind_iterations,10,6,49,53,15719.60894538,50
blind_iterations,10,7,50,54,15984.45115294,20
blind_iterations,10,8,51,55,16222.35778100,40
blind_iterations,10,9,52,56,15755.86426605,70
blind_iterations,10,10,53,57,15501.27674794,60
blind_iterations,10,11,54,58,15917.51654648,30
blind_iterations,10,12,55,59,15162.04443071,40
blind_iterations,10,13,56,60,15662.03719002,40
blind_iterations,10,14,57,61,15134.61269338,60
blind_iterations,10,15,58,62,15315.62693214,40
blind_iterations,10,16,59,63,15289.10946674,40
blind_iterations,10,17,60,64,15509.30711136,60
blind_iterations,10,18,61,65,15331.49117102,50
blind_iterations,10,19,62,66,15023.35550177,60
blind_blend_weight,0.0000,0,43,47,14561.13362450,0
blind_blend_weight,0.0000,1,44,48,15621.96593549,0
blind_blend_weight,0.0000,2,45,49,15783.36110030,0
blind_blend_weight,0.0000,3,46,50,16687.15961314,0
blind_blend_weight,0.0000,4,47,51,16124.17915505,0
blind_blend_weight,0.0000,5,48,52,14831.10255567,0
blind_blend_weight,0.0000,6,49,53,16028.47227476,0
blind_blend_weight,0.0000,7,50,54,16230.82976525,0
blind_blend_weight,0.0000,8,51,55,16411.84909604,0
blind_blend_weight,0.0000,9,52,56,15746.60528987,0
blind_blend_weight,0.0000,10,53,57,15501.27674794,0
blind_blend_weight,0.0000,11,54,58,15917.51654648,0
blind_blend_weight,0.0000,12,55,59,15217.97444555,0
blind_blend_weight,0.0000,13,56,60,15554.98666738,0
blind_blend_weight,0.0000,14,57,61,15133.32578598,0
blind_blend_weight,0.0000,15,58,62,15396.92693660,0
blind_blend_weight,0.0000,16,59,63,15328.91639337,0
blind_blend_weight,0.0000,17,60,64,15395.65170943,0
blind_blend_weight,0.0000,18,61,65,15331.31669952,0
blind_blend_weight,0.0000,19,62,66,15023.35550177,0
blind_blend_weight,0.2500,0,43,47,14561.13362450,30
blind_blend_weight,0.2500,1,44,48,15673.23664838,20
blind_blend_weight,0.2500,2,45,49,15777.06386195,15
blind_blend_weight,0.2500,3,46,50,16642.97655734,10
blind_blend_weight,0.2500,4,47,51,16124.17915505,15
blind_blend_weight,0.2500,5,48,52,14950.83352376,15
blind_blend_weight,0.2500,6,49,53,16028.47227476,35
blind_blend_weight,0.2500,7,50,54,16230.82976525,30
blind_blend_weight,0.2500,8,51,55,16222.35778100,15
blind_blend_weight,0.2500,9,52,56,15755.86426605,35
blind_blend_weight,0.2500,10,53,57,15501.27674794,30
blind_blend_weight,0.2500,11,54,58,15917.51654648,15
blind_blend_weight,0.2500,12,55,59,15212.52822127,20
blind_blend_weight,0.2500,13,56,60,15566.61630920,15
blind_blend_weight,0.2500,14,57,61,15134.61269338,30
blind_blend_weight,0.2500,15,58,62,15203.99657886,15
blind_blend_weight,0.2500,16,59,63,15328.91639337,25
blind_blend_weight,0.2500,17,60,64,15395.65170943,20
